label,strategy,concurrency,poolMax,total,completed,failed,retried,jobsPerSec,p50Ms,p95Ms,drainSec,outOfStock,duplicate,lockTimeout,other
pessimistic/c1,pessimistic,1,3,500,50,450,0,380.2,2,5,1.31,450,0,0,0
pessimistic/c2,pessimistic,2,4,500,50,450,0,492.1,3,10,1.02,450,0,0,0
pessimistic/c4,pessimistic,4,6,500,50,450,0,504.5,6,17,0.99,450,0,0,0
pessimistic/c8,pessimistic,8,10,500,50,450,0,486.9,12,34,1.03,450,0,0,0
pessimistic/c16,pessimistic,16,18,500,50,450,0,511.2,22,86,0.98,450,0,0,0
pessimistic/c32,pessimistic,32,34,500,50,450,0,497,47,192,1.01,450,0,0,0
pessimistic/c10/pool2,pessimistic,10,2,500,50,450,0,521.4,14,43,0.96,450,0,0,0
pessimistic/c10/pool4,pessimistic,10,4,500,50,450,0,524.1,15,39,0.95,450,0,0,0
pessimistic/c10/pool6,pessimistic,10,6,500,50,450,0,556.2,13,44,0.9,450,0,0,0
pessimistic/c10/pool12,pessimistic,10,12,500,50,450,0,473.5,14,51,1.06,450,0,0,0
pessimistic/c10/pool24,pessimistic,10,24,500,50,450,0,478.5,16,37,1.04,450,0,0,0
pessimistic/c10/pool48,pessimistic,10,48,500,50,450,0,457,14,32,1.09,450,0,0,0
pessimistic/c10,pessimistic,10,12,500,50,450,0,574.1,12,40,0.87,450,0,0,0
optimistic/c10,optimistic,10,12,500,50,450,0,394.9,9,137,1.27,450,0,0,0
atomic/c10,atomic,10,12,500,50,450,0,834.7,9,20,0.6,450,0,0,0
